CODIGO,ESTABLECIMIENTO,DIRECCION_STD,ZONA,TELEFONO,JORNADA,PLAN,MUNICIPIO,DEPARTAMENTO,DUP_CAPITAL_CODIGOS_DISTINTOS
00 - 01 - 9788 - 46,COLEGIO VALVERDE NO.2,"AVENIDA 4, 4A. - 49",1,22093200,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 01 - 9789 - 46,COLEGIO VALVERDE NO.2,"AVENIDA 4, 4A. - 49",1,22093200,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 01 - 9816 - 46,CENTRO HUMANISTA DE ESTUDIOS TECNOLOGICOS ABRAHAM MASLOW,"COLONIA LAS VICTORIAS, 1A. CALLE C 20 - 32",1,22510952,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 01 - 9817 - 46,CENTRO HUMANISTA DE ESTUDIOS TECNOLOGICOS ABRAHAM MASLOW,"COLONIA LAS VICTORIAS, 1A. CALLE C 20 - 32",1,22510952,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 02 - 0091 - 46,COLEGIO DE SENORITAS SANTA INES,"AVENIDA 7, 7A. - 71",2,22541047,VESPERTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 02 - 0092 - 46,COLEGIO DE SENORITAS SANTA INES,"AVENIDA 7, 7A. - 71",2,22541047,VESPERTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 04 - 0005 - 46,INSTITUTO GUATEMALTECO AMERICANO - IGA -,RUTA 14 - 05,4,24225555,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 04 - 0376 - 46,INSTITUTO GUATEMALTECO AMERICANO - IGA -,RUTA 14 - 05,4,24225555,MATUTINA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 06 - 0077 - 46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA DOCTORA SARA CABARRUS DE RUIZ,"AVENIDA 26, CALZADA JOSE MILLA Y VIDAURRE Y 26, FINAL",6,22702943,NOCTURNA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 06 - 0078 - 46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA DOCTORA SARA CABARRUS DE RUIZ,"AVENIDA 26, CALZADA JOSE MILLA Y VIDAURRE Y 26, FINAL",6,22702943,NOCTURNA,DIARIO(REGULAR),GUATEMALA,GUATEMALA,True
00 - 07 - 0080 - 46,INSTITUTO TECNOLOGICO EN ELECTRONICA Y DIBUJO,CALZADA SAN JUAN 31 - 47,7,24392574,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 07 - 0093 - 46,INSTITUTO TECNOLOGICO EN ELECTRONICA Y DIBUJO,CALZADA SAN JUAN 31 - 47,7,24392574,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
00 - 07 - 0114 - 46,COLEGIO TECNICO EN COMPUTACION SAN JUAN,"CALLE 8, COLONIA QUINTA SAMAYOA, 9A. - 63 Y 8 - 67",7,24754329,DOBLE,FIN DE SEMANA,GUATEMALA,GUATEMALA,True
